		
SYSTEM DATE/TIME		
-------------------------		
Date	12/31/2017	Date.
Time	03:39:36	Time.
		
SYSTEM INFO		
-------------------------		
Hardware Revision	6	Specifies the hardware revision.
OS Version	WM65 (5.2.29361)	Specifies the Operating System version.
Kernel	26.08S1 (MAR 06, 2017)	Specifies the Kernel version.
Service Pack	NONE	Specifies the Service Pack level.
IPL	26.08 (MAR 06, 2017)	Specifies the Boot Loader version.
Keyboard Firmware	26.08	Specifies the Keyboard firmware version.
Camera ID	OV5640	Specifies the camera sensor model number
GPS Firmware	7.03 (45969)	Specifies the GPS firmware version.
Manufacture Date	20140829	Specifies the manufacture date.
Model Number	99EX	Specifies the model number.
Part Number	99EXLG3-10708	Specifies main board part number.
Terminal Serial Number	14241D80A0	Specifies the terminal serial number.
Configuration Number	99EXLG3-GC142XE	Specifies the unit configuration number.
Keyboard Type	55-key	Specifies the Keyboard type.
Scanner Type	N5603	Specifies the scanner type.
Display Type	Casio	Specifies the display type.
		
CPU INFO		
-------------------------		
ProcessorName	OMAP37XX	Specifies the name of the CPU
Architecture	ARM	Specifies the systems processor architecture.
ProcessorLevel	4	Specifies the systems architecture-dependent processor level.
Processor Frequency	1000 Mhz	Specifies the systems processor operating frequency.
		
DLL VERSION INFO		
-------------------------		
Decoder.dll	3.24	Current Decoder.dll api build revision.
Matrix Engine	2013.4.702	Current Matrix engine build revision.
Decoder Secondary Revision	2012.12.103	Current Secondary Decoder revision
Decoder Control Logic Version	2013.10.577	Current Decoder Control Logic revision
DecThreads Version	2013.10.4486	Current DecThreads revision
HHPScanInterface.dll	1.36	Current HHPScanInterface.dll api build revision.
Scan Driver	1.807	Current scan driver build revision.
HHPJADEHW.dll	2.02.04	Current HHPJADEHW.dll api build revision.
ImgApi.dll	3.00.02	Current ImgApi.dll api build revision.
DibCE.dll	2.04.00	Current DibCE.dll api build revision.
		
SYSTEM PARAMETERS		
-------------------------		
BatteryIdleTimeout	60	
ExternalIdleTimeout	0	
OEMInfo	99EX. Honeywell	
PlatformType	PocketPC	
		
NETWORK INFO		
-------------------------		
Hostname	ID14241D80A0	
NumberOfAdapters	1	
1: Mac Address	0010205AAAE3	
1: IP Address	192.168.1.101	
		
